Resp;Desc Resp;VP;Gerencia;Proc;Desc Proc;Item;Desc Item;Classif;CC; Jan-24 ; Feb-24 ; Mar-24 ; Apr-24 ; May-24 ; Jun-24 ; Jul-24 ; Aug-24 ; Sep-24 ; Oct-24 ; Nov-24 ; Dec-24 ; FY24 ; FY25 ; FY26 ; FY27 ; FY28 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;3101;Remuneraciones Supervision              ;Labor;100010013101; 37.029 ; 32.159 ; 32.159 ; 39.825 ; 33.366 ; 35.176 ; 38.236 ; 33.366 ; 33.366 ; 38.663 ; 33.793 ; 38.859 ; 425.997 ; 434.633 ; 451.783 ; 464.582 ; 489.507 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5111;Pasajes Nacionales                      ;Expenses;100010015111; 3.000 ; 3.000 ; 3.000 ; 3.000 ; 3.000 ; 3.000 ; 3.000 ; 3.000 ; 3.000 ; 3.000 ; 3.000 ; 3.000 ; 36.000 ; 36.035 ; 36.123 ; 36.605 ; 36.878 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5112;Hoteles Estadia Alimentacion Nacionales ;Expenses;100010015112; 800 ; 800 ; 800 ; 800 ; 800 ; 800 ; 800 ; 800 ; 800 ; 800 ; 800 ; 800 ; 9.600 ; 9.609 ; 9.633 ; 9.761 ; 9.834 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5113;Gastos Representacion Nacionales        ;Expenses;100010015113; 350 ; 350 ; 350 ; 350 ; 350 ; 350 ; 350 ; 350 ; 350 ; 350 ; 350 ; 350 ; 4.200 ; 4.221 ; 4.308 ; 4.417 ; 4.467 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5121;Pasajes Internacionales                 ;Expenses;100010015121; -   ; -   ; 8.050 ; -   ; -   ; -   ; -   ; -   ; 8.050 ; 8.050 ; -   ; -   ; 24.150 ; 24.416 ; 24.757 ; 25.129 ; 25.506 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5122;Hoteles Estadia Alimentacion Extranjero ;Expenses;100010015122; -   ; -   ; 2.500 ; -   ; -   ; -   ; -   ; -   ; 2.500 ; 2.500 ; -   ; -   ; 7.500 ; 7.583 ; 7.689 ; 7.804 ; 7.921 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5123;Gastos Representacion Extranjero        ;Expenses;100010015123; -   ; -   ; 1.500 ; -   ; -   ; -   ; -   ; -   ; 1.500 ; 1.500 ; -   ; -   ; 4.500 ; 4.550 ; 4.613 ; 4.682 ; 4.753 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5201;Arriendo Vehiculos                      ;Expenses;100010015201; 1.431 ; 1.431 ; 1.431 ; 1.431 ; 1.431 ; 1.431 ; 1.431 ; 1.431 ; 1.431 ; 1.431 ; 1.431 ; 1.431 ; 17.177 ; 17.263 ; 17.618 ; 18.063 ; 18.269 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5203;Combustibles                            ;Expenses;100010015203; 300 ; 300 ; 300 ; 300 ; 300 ; 300 ; 300 ; 300 ; 300 ; 300 ; 300 ; 300 ; 3.600 ; 3.632 ; 3.724 ; 3.821 ; 3.876 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5301;Materiales y Utiles de Escritorio       ;Expenses;100010015301; 350 ; -   ; -   ; 350 ; -   ; -   ; 350 ; -   ; -   ; 350 ; -   ; -   ; 1.400 ; 1.407 ; 1.436 ; 1.472 ; 1.489 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5302;Suscripciones Varias (Fisicas y Electron;Expenses;100010015302; 833 ; 833 ; 833 ; 833 ; 833 ; 833 ; 833 ; 833 ; 833 ; 833 ; 833 ; 833 ; 10.000 ; 10.050 ; 10.256 ; 10.516 ; 10.635 
